list_name,name,label,governorate,district,subdistrict,community,order
governorate,SY01,Damascus,,,,,
governorate,SY02,Aleppo,,,,,
governorate,SY03,Rural Damascus,,,,,
governorate,SY04,Homs,,,,,
governorate,SY05,Hama,,,,,
governorate,SY06,Lattakia,,,,,
governorate,SY07,Idleb,,,,,
governorate,SY08,Al-Hasakeh,,,,,
governorate,SY09,Deir-ez-Zor,,,,,
governorate,SY10,Tartous,,,,,
governorate,SY11,Ar-Raqqa,,,,,
governorate,SY12,Dar'a,,,,,
governorate,SY13,As-Sweida,,,,,
governorate,SY14,Quneitra,,,,,
district,SY0100,Damascus,SY01,,,,
district,SY0200,Jebel Saman,SY02,,,,
district,SY0202,Al Bab,SY02,,,,
district,SY0203,Afrin,SY02,,,,
district,SY0204,A'zaz,SY02,,,,
district,SY0205,Menbij,SY02,,,,
district,SY0206,Ain Al Arab,SY02,,,,
district,SY0207,As-Safira,SY02,,,,
district,SY0208,Jarablus,SY02,,,,
district,SY0301,Rural Damascus,SY03,,,,
district,SY0302,Duma,SY03,,,,
district,SY0303,Al Qutayfah,SY03,,,,
district,SY0304,At Tall,SY03,,,,
district,SY0305,Yabroud,SY03,,,,
district,SY0306,An Nabk,SY03,,,,
district,SY0307,Az-Zabdani,SY03,,,,
district,SY0308,Qatana,SY03,,,,
district,SY0309,Darayya,SY03,,,,
district,SY0401,Homs,SY04,,,,
district,SY0402,Al-Qusayr,SY04,,,,
district,SY0403,Tall Kalakh,SY04,,,,
district,SY0404,Ar-Rastan,SY04,,,,
district,SY0405,Tadmor,SY04,,,,
district,SY0406,Al Makhrim,SY04,,,,
district,SY0501,Hama,SY05,,,,
district,SY0502,As-Suqaylabiyah,SY05,,,,
district,SY0503,As-Salamiyeh,SY05,,,,
district,SY0504,Masyaf,SY05,,,,
district,SY0505,Muhradah,SY05,,,,
district,SY0600,Lattakia,SY06,,,,
district,SY0602,Jablah,SY06,,,,
district,SY0603,Al-Haffa,SY06,,,,
district,SY0604,Al-Qardaha,SY06,,,,
district,SY0700,Idleb,SY07,,,,
district,SY0702,Al Ma'ra,SY07,,,,
district,SY0703,Harim,SY07,,,,
district,SY0704,Jisr-Ash-Shugur,SY07,,,,
district,SY0705,Ariha,SY07,,,,
district,SY0800,Al-Hasakeh,SY08,,,,
district,SY0802,Quamishli,SY08,,,,
district,SY0803,Al-Malikeyyeh,SY08,,,,
district,SY0804,Ras Al Ain,SY08,,,,
district,SY0901,Deir-ez-Zor,SY09,,,,
district,SY0902,Abu Kamal,SY09,,,,
district,SY0903,Al Mayadin,SY09,,,,
district,SY1000,Tartous,SY10,,,,
district,SY1006,Qadmous,SY10,,,,
district,SY1003,Safita,SY10,,,,
district,SY1004,Dreikish,SY10,,,,
district,SY1005,Sheikh Badr,SY10,,,,
district,SY1002,Banyas,SY10,,,,
district,SY1101,Ar-Raqqa,SY11,,,,
district,SY1102,Tell Abiad,SY11,,,,
district,SY1103,Ath-Thawrah,SY11,,,,
district,SY1200,Dar'a,SY12,,,,
district,SY1202,As-Sanamayn,SY12,,,,
district,SY1203,Izra',SY12,,,,
district,SY1300,As-Sweida,SY13,,,,
district,SY1302,Salkhad,SY13,,,,
district,SY1303,Shahba,SY13,,,,
district,SY1400,Quneitra,SY14,,,,
district,SY1402,Al Fiq,SY14,,,,
subdistrict,SY010000,Damascus,,SY0100,,,
subdistrict,SY020002,Tall Ed-daman,,SY0200,,,
subdistrict,SY020006,Hadher,,SY0200,,,
subdistrict,SY020005,Zarbah,,SY0200,,,
subdistrict,SY020004,Daret Azza,,SY0200,,,
subdistrict,SY020001,Atareb,,SY0200,,,
subdistrict,SY020003,Haritan,,SY0200,,,
subdistrict,SY020000,Jebel Saman,,SY0200,,,
subdistrict,SY020203,Ar-Ra'ee,,SY0202,,,
subdistrict,SY020206,A'rima,,SY0202,,,
subdistrict,SY020200,Al Bab,,SY0202,,,
subdistrict,SY020201,Tadaf,,SY0202,,,
subdistrict,SY020205,Rasm Haram El-Imam,,SY0202,,,
subdistrict,SY020202,Dayr Hafir,,SY0202,,,
subdistrict,SY020204,Eastern Kwaires ,,SY0202,,,
subdistrict,SY020301,Bulbul,,SY0203,,,
subdistrict,SY020303,Raju,,SY0203,,,
subdistrict,SY020306,Ma'btali,,SY0203,,,
subdistrict,SY020305,Sheikh El-Hadid,,SY0203,,,
subdistrict,SY020302,Jandairis,,SY0203,,,
subdistrict,SY020304,Sharan,,SY0203,,,
subdistrict,SY020300,Afrin,,SY0203,,,
subdistrict,SY020401,Aghtrin,,SY0204,,,
subdistrict,SY020405,Suran,,SY0204,,,
subdistrict,SY020400,A'zaz,,SY0204,,,
subdistrict,SY020403,Mare',,SY0204,,,
subdistrict,SY020402,Tall Refaat,,SY0204,,,
subdistrict,SY020404,Nabul,,SY0204,,,
subdistrict,SY020500,Menbij,,SY0205,,,
subdistrict,SY020501,Abu Qalqal,,SY0205,,,
subdistrict,SY020502,Al-Khafsa,,SY0205,,,
subdistrict,SY020503,Maskana,,SY0205,,,
subdistrict,SY020601,Lower Shyookh,,SY0206,,,
subdistrict,SY020600,Ain al Arab,,SY0206,,,
subdistrict,SY020602,Sarin,,SY0206,,,
subdistrict,SY020700,As-Safira,,SY0207,,,
subdistrict,SY020702,Banan,,SY0207,,,
subdistrict,SY020703,Hajeb,,SY0207,,,
subdistrict,SY020701,Khanaser,,SY0207,,,
subdistrict,SY020800,Jarablus,,SY0208,,,
subdistrict,SY020801,Ghandorah,,SY0208,,,
subdistrict,SY030101,Kisweh,,SY0301,,,
subdistrict,SY030104,Maliha,,SY0301,,,
subdistrict,SY030103,Jaramana,,SY0301,,,
subdistrict,SY030105,Kafr Batna,,SY0301,,,
subdistrict,SY030106,Arbin,,SY0301,,,
subdistrict,SY030102,Babella,,SY0301,,,
subdistrict,SY030107,Qudsiya,,SY0301,,,
subdistrict,SY030200,Duma,,SY0302,,,
subdistrict,SY030202,Sabe Byar,,SY0302,,,
subdistrict,SY030203,Dhameer,,SY0302,,,
subdistrict,SY030204,Nashabiyeh,,SY0302,,,
subdistrict,SY030205,Ghizlaniyyeh,,SY0302,,,
subdistrict,SY030206,Haran Al'awameed,,SY0302,,,
subdistrict,SY030201,Harasta,,SY0302,,,
subdistrict,SY030300,Al Qutayfah,,SY0303,,,
subdistrict,SY030301,Jirud,,SY0303,,,
subdistrict,SY030302,Ma'loula,,SY0303,,,
subdistrict,SY030303,Raheiba,,SY0303,,,
subdistrict,SY030401,Sidnaya,,SY0304,,,
subdistrict,SY030402,Rankus,,SY0304,,,
subdistrict,SY030400,At Tall,,SY0304,,,
subdistrict,SY030500,Yabroud,,SY0305,,,
subdistrict,SY030501,Esal El-Ward,,SY0305,,,
subdistrict,SY030600,An Nabk,,SY0306,,,
subdistrict,SY030601,Deir Attiyeh,,SY0306,,,
subdistrict,SY030700,Az-Zabdani,,SY0307,,,
subdistrict,SY030701,Dimas,,SY0307,,,
subdistrict,SY030702,Ein Elfijeh,,SY0307,,,
subdistrict,SY030703,Madaya,,SY0307,,,
subdistrict,SY030704,Sarghaya,,SY0307,,,
subdistrict,SY030800,Qatana,,SY0308,,,
subdistrict,SY030802,Sa'sa',,SY0308,,,
subdistrict,SY030801,Bait Jan,,SY0308,,,
subdistrict,SY030901,Sahnaya,,SY0309,,,
subdistrict,SY030900,Markaz Darayya,,SY0309,,,
subdistrict,SY030902,Hajar Aswad,,SY0309,,,
subdistrict,SY040100,Homs,,SY0401,,,
subdistrict,SY040101,Taldu,,SY0401,,,
subdistrict,SY040102,Kherbet Tin Noor,,SY0401,,,
subdistrict,SY040103,Ein Elniser,,SY0401,,,
subdistrict,SY040104,Farqalas,,SY0401,,,
subdistrict,SY040105,Raqama,,SY0401,,,
subdistrict,SY040107,Mahin,,SY0401,,,
subdistrict,SY040109,Sadad,,SY0401,,,
subdistrict,SY040106,Qaryatein,,SY0401,,,
subdistrict,SY040110,Qabu,,SY0401,,,
subdistrict,SY040111,Shin,,SY0401,,,
subdistrict,SY040108,Hasyaa,,SY0401,,,
subdistrict,SY040200,Al-Qusayr,,SY0402,,,
subdistrict,SY040300,Tall Kalakh,,SY0403,,,
subdistrict,SY040301,Hadideh,,SY0403,,,
subdistrict,SY040304,Hawash,,SY0403,,,
subdistrict,SY040303,Nasra,,SY0403,,,
subdistrict,SY040400,Ar-Rastan,,SY0404,,,
subdistrict,SY040401,Talbiseh,,SY0404,,,
subdistrict,SY040500,Tadmor,,SY0405,,,
subdistrict,SY040501,Sokhneh,,SY0405,,,
subdistrict,SY040600,Al Makhrim,,SY0406,,,
