last update,admin1,admin2,admin3,admin4,pcode_sites,governorate,district,sub_district,community,"cluster ",site_name,gps_coordinates,site_type,site_size,total_idp_individuals,total_idp_families,male_infants,female_infants,males_7_months_4_years,females_7_months_4_years,males_5_12_years,females_5_12_years,males_13_17_years,females_13_17_years,males_18_35_years,females_18_35_years,males_over_60_years,females_over_60_years,main_source_of_population_info,specify_source_of_pop_info,original_place_of_idps,governorate_first_origin,district_first_origin,subdistrict_first_origin,governorate_second_origin,district_second_origin,subdistrict_second_origin,governorate_third_origin,district_third_origin,subdistrict_third_origin,what_are_the_reasons_of_displacement,specify_other_reasons_of_displacement,is_there_only_a_single_manager,is_there_a_camp_committee,type_of_the_committee,specify_type_of_committee,percent_of_women_in_committee,percent_of_youth_in_committee,percent_of_elderly_in_committee,is_the_land_public_or_private,do_idps_pay_rent_or_perform_services,lighting_on_main_roads,lighting_in_paths_between_tents,camp_fenced,does_camp_need_fence,why_need_fence,main_roads_paved,main_roads_gravelled,paths_between_tents_paved,gravelling_underneath_tents,heating_in_idp_accomodations,what_type_power_source_available,specify_type_of_power_source_available,is_power_source_needed_in_site,what_type_power_source_needed,specify_type_of_power_source_needed,number_of_firebreaks,number_of_play_ground,number_of_multi_purp_building,designated_room_for_girls_women,is_there_a_child_friendly_space,designated_distribution_point,mobile_phone_coverage,internet_coverage,main_safety_concerns_for_idps,specify_main_safety_concerns,number_of_pregnant_women,number_of_person_with_disabilities,number_of_person_with_mental_disabilities,number_of_elderly_need_assistance,number_of_unaccompanied_children_under_17,number_of_separated_children_under_17,number_of_female_headed_hhs,number_of_children_headed_hhs,number_of_acute_or_chronically_ill_people,has_there_been_any_uxo_in_site,has_there_been_any_uxo_nearby_site,is_there_any_friction_with_host_community,is_there_any_food_distribution,type_of_food_distributed,specify_type_of_food,frequency_of_food_distribution,specify_other_frequency,what_meals_provided_in_a_day,how_much_kcal,percent_of_idps_assisted_with_food,idps_mainly_get_their_food_from,specify_source_of_food,number_of_communal_kitchens,type_and_number_of_shelters,specify_type_of_shelter,number_of_tents,number_of_caravans,number_of_makeshift_tents,number_of_buildings,number_of_mud_shelters,number_of_communal_tents,specify_number_of_other_shelter,number_of_families_without_shelter,number_of_shelters_need_repair,number_of_shelters_in_flood_prone,percent_of_idps_with_one_blanket,percent_of_person_with_mattress,percent_of_families_with_kitchen_sets,percent_of_families_with_cooking_stoves,percent_of_families_with_20l_water_container,is_there_any_fuel_distribution,what_type_fuel_distributed,how_much_fuel_provided_per_family,what_is_fuel_used_for,main_sources_of_drinking_water,specify_main_source_of_water,number_of_litres_of_water_per_person_per_day,number_of_functioning_latrines_segregated,number_of_functioning_latrines_for_male_only,number_of_functioning_latrines_for_female_only,number_of_functioning_private_latrines,number_of_functioning_segregated_showers_baths,number_of_functioning_showers_baths_male_only,number_of_functioning_showers_baths_female_only,number_of_functioning_private_bathing_facilities,number_of_hand_or_clothes_washing_station,latrine_doors_can_be_locked,lighting_in_or_near_latrines,number_of_water_tanks,water_tanks_capacity,number_of_septic_tanks,capacity_of_septic_tanks_overall,number_of_functional_water_points,is_there_any_drainage_ducts_along_roads,is_there_any_additional_drainage_ducts,is_there_any_drainage_among_tents,mainline_sewer_connection,main_means_of_solid_waste_disposal,specify_the_main_waste_disposal,is_first_aid_responders_available,is_pharmacy_or_dispensary_available,reproductive_healthcare,primary_health_care_within_2_km_available,in_the_last_2_weeks_idps_experiencing_diarrhea,in_the_last_2_weeks_idps_experiencing_fever,in_the_last_2_weeks_idps_experiencing_skin_diseases,in_the_last_2_weeks_idps_experiencing_respiratory_illness,did_the_camp_have_a_death_last_30_days,distance_in_kilometers_to_nearest_school,percent_of_school_aged_children_going_school_6_17,is_there_a_primary_school,classroom_setting_in_primary_school,specify_classroom_setting_in_primary_school,number_of_classrooms_in_primary_school,number_of_teachers_in_primary_school,number_of_students_in_primary_school,is_there_a_secondary_school,classroom_setting_in_secondary_school,specify_classroom_setting_in_secondary_school,number_of_classrooms_in_secondary_school,number_of_teachers_in_secondary_school,number_of_students_in_secondary_school,is_there_educational_activities_available,specify_type_of_educational_activities,geopoint_latitude,geopoint_longitude
August 2017,SY02,SY0203,SY020300,C1371,CP000002,Aleppo/حلب,Afrin/عفرين,Afrin/مركز عفرين,Baselhaya/باصلحايا,Afrin/ عفرين,Roubar/ روبار,"36.4116661,37.0203094",IS,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4116661,37.0203094
Not covered,SY02,SY0204,SY020400,C1566,CP000003,Aleppo/حلب,A'zaz/اعزاز,A'zaz/مركز اعزاز,Shamarin/شمارين,Azaz/ اعزاز,Bab Al Iman/ باب الايمان,"36.611619,37.069128",IS,,7470,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.611619,37.069128
Not covered,SY02,SY0204,SY020400,C1566,CP000004,Aleppo/حلب,A'zaz/اعزاز,A'zaz/مركز اعزاز,Shamarin/شمارين,Azaz/ اعزاز,Bab Al Noor/ باب النور,"36.598828,37.220317",IS,,7525,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.598828,37.220317
December 2017,SY02,SY0204,SY020400,C1561,CP000005,Aleppo/حلب,A'zaz/اعزاز,A'zaz/مركز اعزاز,Salama/السلامة,Azaz/ اعزاز,Bab Al Salame / بابا السلامة,"36.656307,37.105711",IS,226000,19304,3425,0,0,0,0,0,0,0,0,0,0,0,0,camp_manager,,yes,SY02,SY0204,SY020402,SY02,SY0204,,SY02,SY0200,SY020000,fear_of_shellling escalation_of_conflict safety_concerns,,yes,yes,community_representatives care_and_maintenance safety_and_security distribution_committee,,0_percent,1_25_percent,1_25_percent,public,no_rent_no_services,51_75_percent,1_25_percent,100_percent,no,,0_percent,76_99_percent,0_percent,76_99_percent,76_99_percent,generator,,yes,generator solar_energy,,0,0,1,yes,yes,yes,76_99_percent,0_percent,armed_violence restricted_movement,,0,290,60,215,0,33,191,11,110,no,no,no,yes,food_baskets bread,,other_specify,الخبز يومي bread daily  السلة الغذائية شهريا food Basket monthly,,2000,76_99_percent,host_community_market store_in_camp local_ngo,,0,tents caravans,,3024,100,0,0,,0,0,319,1275,0,76_99_percent,76_99_percent,76_99_percent,76_99_percent,76_99_percent,yes,kerosene,45,heating_cooking,trucked_water_purchased well,,20,0,156,156,1781,0,62,90,1700,4,yes,no,75,330,6,237,32,yes,yes,no,yes,burn nearby_dump_site,,yes,yes,yes,yes,1_25_percent,0_percent,1_25_percent,1_25_percent,yes,1,51_75_percent,yes,container,,42,90,2600,no,,,0,0,0,yes,معهد تحفيظ قرأان,36.656307,37.105711
Not covered,SY02,SY0204,SY020400,C1566,CP000007,Aleppo/حلب,A'zaz/اعزاز,A'zaz/مركز اعزاز,Shamarin/شمارين,Azaz/ اعزاز,Al Harameen (and extensions)/ الحرمين,"36.551269,37.200675",IS,,7260,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.551269,37.200675
December 2017,SY02,SY0204,SY020400,C1561,CP000008,Aleppo/حلب,A'zaz/اعزاز,A'zaz/مركز اعزاز,Salama/السلامة,Azaz/ اعزاز,Sujjo/ سوجو,"36.644667,37.138829",IS,130000,11692,1775,0,0,0,0,0,0,0,0,0,0,0,0,camp_manager,,yes,SY02,SY0200,SY020002,SY09,SY0903,SY090300,SY02,SY0204,SY020402,fear_of_shellling escalation_of_conflict safety_concerns,,yes,yes,community_representatives care_and_maintenance youth_committee safety_and_security distribution_committee,,0_percent,1_25_percent,1_25_percent,public,no_rent_no_services,76_99_percent,26_50_percent,76_99_percent,yes,,26_50_percent,100_percent,0_percent,100_percent,76_99_percent,generator solar_energy,,yes,generator solar_energy,,20,1,4,yes,yes,yes,76_99_percent,0_percent,armed_violence kidnapping_disappearances restricted_movement,,0,0,0,0,0,0,0,0,0,no,no,no,yes,food_baskets bread,,other_specify,الخبز يومي bread daily  السلة الغذائية شهريا food Basket monthly,,2000,76_99_percent,host_community_market store_in_camp local_ngo,,0,tents caravans communal_tents,,400,806,0,0,,8,0,380,200,0,76_99_percent,76_99_percent,76_99_percent,76_99_percent,76_99_percent,yes,kerosene,45,heating_cooking,trucked_water_purchased trucked_water_free,,20,0,42,56,933,0,16,25,933,8,yes,yes,33,81,0,0,16,yes,yes,yes,yes,burn nearby_dump_site,,yes,yes,yes,yes,0_percent,0_percent,1_25_percent,1_25_percent,yes,1,51_75_percent,yes,container,,36,68,1600,no,,,0,0,0,yes,معهد تحفيظ قرأن,36.644667,37.138829
December 2017,SY02,SY0204,SY020400,C1566,CP000009,Aleppo/حلب,A'zaz/اعزاز,A'zaz/مركز اعزاز,Shamarin/شمارين,Azaz/ اعزاز,"Shamarin (Dhahiat Al-Shuhada, Qatari)/ شمارين ( ضاحية الشهداء , القطري)","36.644082,37.05867",IS,70000,5163,1053,165,200,225,300,650,785,335,425,590,815,218,395,camp_manager,,yes,SY02,SY0200,SY020000,,,,,,,fear_of_shellling safety_concerns lack_of_acces_to_livelihoods,,yes,yes,community_representatives care_and_maintenance distribution_committee,,0_percent,1_25_percent,1_25_percent,public,no_rent_no_services,76_99_percent,1_25_percent,76_99_percent,yes,,0_percent,100_percent,0_percent,76_99_percent,76_99_percent,generator,,no,,,15,1,1,yes,yes,yes,76_99_percent,0_percent,armed_violence restricted_movement,,0,285,83,0,0,0,235,10,87,no,no,no,yes,food_baskets bread,,other_specify,الخبز يومي bread daily  السلة الغذائية شهريا food Basket monthly,,2000,76_99_percent,host_community_market store_in_camp local_ngo,,0,tents caravans,,175,703,0,0,,0,0,100,74,15,100_percent,76_99_percent,100_percent,100_percent,100_percent,yes,kerosene,45,heating_cooking,trucked_water_free,,20,0,18,39,808,0,0,0,808,1,yes,no,26,52,0,0,16,yes,yes,yes,yes,burn nearby_dump_site,,yes,yes,yes,yes,1_25_percent,0_percent,0_percent,26_50_percent,yes,1,51_75_percent,yes,container,,20,45,1150,no,,,0,0,0,no,,36.644082,37.05867
August 2017,SY02,SY0208,SY020800,C2227,CP000011,Aleppo/حلب,Jarablus/جرابلس,Jarablus/مركز جرابلس,Jarablus/جرابلس,Jarablus/ جرابلس,Camp 5/ المخيم رقم 5,"36.82082311,37.9865972",IS,,3865,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.82082311,37.9865972
Not covered,SY02,SY0208,SY020800,C2227,CP000014,Aleppo/حلب,Jarablus/جرابلس,Jarablus/مركز جرابلس,Jarablus/جرابلس,Jarablus/ جرابلس,Jarablus (Agricultural bank)/ جرابلس (البنك الزراعي),"36.7909887,37.919483",IS,,1425,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7909887,37.919483
August 2017,SY02,SY0208,SY020800,C2227,CP000015,Aleppo/حلب,Jarablus/جرابلس,Jarablus/مركز جرابلس,Jarablus/جرابلس,Jarablus/ جرابلس,Jarablus (Stadium)/ جرابلس (الملعب),"36.737979,37.975051",IS,,1750,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.737979,37.975051
