csv_field,alias,,type,category,choices,traffic_light,chart,chart_details
date_of_update,Date of update ,date,date,General,,,,
admin1,Governorate,select_one governorate,string,General,governorate,,,
admin2,District,select_one district,string,General,district,,,
admin3,Subdistrict,select_one subdistrict,string,General,subdistrict,,,
admin4,Community,select_one community,string,General,community,,,
site_camp_name,Site (camp) name,select_one camp,string,General,camp,,,
alternative_site_name,Alternative site name ,text,string,General,,,,
gps_coordinates,GPS coordinates (approximate),geopoint,string,General,,,,
site_type,Site type (select one) ,select_one sitetype,string,General,sitetype,,,
site_size,"What is the size of the site, in square meter?",integer,integer,General,,,,
total_idp_individuals,Total IDP individuals ,integer,integer,Demographics,,,,
total_idp_families,Total IDP families ,integer,integer,Demographics,,,,
male_infants,Male infants <7 months ,integer,integer,Demographics,,,age_pyramid,m
female_infants,Female infants <7 months ,integer,integer,Demographics,,,age_pyramid,f
males_7_months_4_years,Males 7 months-4 years ,integer,integer,Demographics,,,age_pyramid,m
females_7_months_4_years,Females 7 months-4 years ,integer,integer,Demographics,,,age_pyramid,f
males_5_12_years,Males 5-12 years ,integer,integer,Demographics,,,age_pyramid,m
females_5_12_years,Females 5-12 years ,integer,integer,Demographics,,,age_pyramid,f
males_13_17_years,Males 13-18 years ,integer,integer,Demographics,,,age_pyramid,m
females_13_17_years,Females 13-18 years ,integer,integer,Demographics,,,age_pyramid,f
males_18_35_years,Males 19-60 years ,integer,integer,Demographics,,,age_pyramid,m
females_18_35_years,Females 19-60 years ,integer,integer,Demographics,,,age_pyramid,f
males_over_60_years,Males 60+ years ,integer,integer,Demographics,,,age_pyramid,m
females_over_60_years,Females 60+ years ,integer,integer,Demographics,,,age_pyramid,f
main_source_of_population_info,Main source of population information. (Select one) ,select_one populationinfo,string,Demographics,populationinfo,,,
specify_source_of_pop_info,Please specify source of population information ,text,string,Demographics,,,,
original_place_of_idps,Do you know place of origin of IDPs? (Three most common) ,select_one originofidps,string,Displacement,originofidps,,,
governorate_first_origin,First most common place of origin of IDPs - Governorate,select_one governorate,string,Displacement,governorate,,,
district_first_origin,First most common place of origin of IDPs - District,select_one district,string,Displacement,district,,,
subdistrict_first_origin,First most common place of origin of IDPs - Subdistrict,select_one subdistrict,string,Displacement,subdistrict,,,
governorate_second_origin,Second most common place of origin of IDPs - Governorate,select_one governorate,string,Displacement,governorate,,,
district_second_origin,Second most common place of origin of IDPs - District,select_one district,string,Displacement,district,,,
subdistrict_second_origin,Second most common place of origin of IDPs - Subdistrict,select_one subdistrict,string,Displacement,subdistrict,,,
governorate_third_origin,Third most common place of origin of IDPs - Governorate,select_one governorate,string,Displacement,governorate,,,
district_third_origin,Third most common place of origin of IDPs - District,select_one district,string,Displacement,district,,,
subdistrict_third_origin,Third most common place of origin of IDPs - Subdistrict,select_one subdistrict,string,Displacement,subdistrict,,,
what_are_the_reasons_of_displacement,What are the reasons that influenced displacement of IDPs? (Select all that apply) / ,select_multiple reasonsofdisplacement,list,Displacement,reasonsofdisplacement,,,
specify_other_reasons_of_displacement,Please specify other reasons of displacement ,text,string,Displacement,,,,
is_there_only_a_single_manager,Is there only a single camp manager? ,select_one yesnodnk,string,Camp_Management,yesnodnk,yesgreen,,
is_there_a_camp_committee,Is there a Camp Committee ,select_one yesnodnk,string,Camp_Management,yesnodnk,yesgreen,,
type_of_the_committee,Type of the Committee. (Select all that apply) ,select_multiple typeofcommittee,list,Camp_Management,typeofcommittee,committees,,
specify_type_of_committee,Please specify type of the committee ,text,string,Camp_Management,,,,
percent_of_women_in_committee,Percent of women in Camp Committee ,select_one percentage,string,Camp_Management,percentage,percentage_committee,,
percent_of_youth_in_committee,Percent of youth in Camp Committee ,select_one percentage,string,Camp_Management,percentage,percentage_committee,,
percent_of_elderly_in_committee,Percent of elderly in Camp Committee ,select_one percentage,string,Camp_Management,percentage,percentage_committee,,
is_the_land_public_or_private,Is the land public or private? ,select_one landowner,string,Camp_Management,landowner,,,
do_idps_pay_rent_or_perform_services,Do IDPs pay rent or perform services in exchange for living here? ,select_one rentpayment,string,Camp_Management,rentpayment,rentpayment,,
lighting_on_main_roads,Lighting on main roads ,select_one percentage,string,Infrastructure,percentage,percentage_infrastructure,,
lighting_in_paths_between_tents,Lighting in paths between tents ,select_one percentage,string,Infrastructure,percentage,percentage_infrastructure,,
camp_fenced,Camp fenced ,select_one percentage,string,Infrastructure,percentage,percentage_infrastructure,,
does_camp_need_fence,Does the camp need to be fenced?,select_one yesnodnk,string,Infrastructure,yesnodnk,,,
why_need_fence,Why? ,text,string,Infrastructure,,,,
main_roads_paved,Main roads paved ,select_one percentage,string,Infrastructure,percentage,percentage_infrastructure,,
main_roads_gravelled,Main roads gravelled ,select_one percentage,string,Infrastructure,percentage,percentage_infrastructure,,
paths_between_tents_paved,Paths between tents paved ,select_one percentage,string,Infrastructure,percentage,percentage_infrastructure,,
gravelling_underneath_tents,Gravelling underneath tents ,select_one percentage,string,Infrastructure,percentage,percentage_infrastructure,,
heating_in_idp_accomodations,Heating in IDP accommodations ,select_one percentage,string,Infrastructure,percentage,percentage_infrastructure,,
what_type_power_source_available,What type of power source is available in the site?,select_multiple powersourceavailable,list,Infrastructure,powersourceavailable,powersourceavailable,,
specify_type_of_power_source_available,Please specify type of power source available in the site ,text,string,Infrastructure,,,,
is_power_source_needed_in_site,Is power source needed in site? ,select_one yesnodnk,string,Infrastructure,yesnodnk,nogreen,,
what_type_power_source_needed,What type of power source is needed?,select_multiple powersourceneeded,list,Infrastructure,powersourceavailable,,,
specify_type_of_power_source_needed,Please specify type of power source needed in the site ,text,string,Infrastructure,,,,
number_of_firebreaks,Number of firebreaks ,integer,integer,Infrastructure,,,,
number_of_play_ground,Number of play-ground ,integer,integer,Infrastructure,,,,
number_of_multi_purp_building,Number of multi-purpose building ,integer,integer,Infrastructure,,,,
designated_room_for_girls_women,Is there a designated place for women and girls? ,select_one yesnodnk,string,Infrastructure,yesnodnk,yesnodnk,,
is_there_a_child_friendly_space,Is there a child friendly space? ,select_one yesnodnk,string,Infrastructure,yesnodnk,yesnodnk,,
designated_distribution_point,Is there a designated distribution point? ,select_one yesnodnk,string,Infrastructure,yesnodnk,yesnodnk,,
mobile_phone_coverage,Mobile phone coverage ,select_one percentage,string,Infrastructure,percentage,percentage_mob_internet,,
internet_coverage,Internet coverage ,select_one percentage,string,Infrastructure,percentage,percentage_mob_internet,,
main_safety_concerns_for_idps,Main safety concerns for IDPs in this camp. (Select all that apply)  ,select_multiple safetyconcerns,list,Protection,safetyconcerns,safetyconcerns,,
specify_main_safety_concerns,Please specify the main safety concerns for IDPs in this camp ,text,string,Protection,,,,
number_of_pregnant_women,Number of pregnant and lactating women ,integer,integer,Protection,,,,
number_of_person_with_disabilities,Number of person with physical disabilities ,integer,integer,Protection,,,,
number_of_person_with_mental_disabilities,Number of person with mental disabilities ,integer,integer,Protection,,,,
number_of_elderly_need_assistance,Number of elderly needing assistance ,integer,integer,Protection,,,,
number_of_unaccompanied_children_under_17,Number of unaccompanied minors (<17) ,integer,integer,Protection,,,,
number_of_separated_children_under_17,Number of separated children (<17) ,integer,integer,Protection,,,,
number_of_female_headed_hhs,Number of female-headed households ,integer,integer,Protection,,,,
number_of_children_headed_hhs,Number of child-headed households ,integer,integer,Protection,,,,
number_of_acute_or_chronically_ill_people,Number of acute or chronically ill people ,integer,integer,Protection,,,,
has_there_been_any_uxo_in_site,Has there been any UXO (Unexploded Ordnance) reported in the site? ,select_one yesnodnk,string,Protection,yesnodnk,yesnodnk,,
has_there_been_any_uxo_nearby_site,Has there been any UXO (Unexploded Ordnance) reported nearby the site? ,select_one yesnodnk,string,Protection,yesnodnk,yesnodnk,,
is_there_any_friction_with_host_community,Is there any friction with host community? ,select_one yesnodnk,string,Protection,yesnodnk,yesnodnk,,
is_there_any_food_distribution,Is there any food distribution in the camp?,select_one yesnodnk,string,Food_Security,yesnodnk,yesnodnk,,
type_of_food_distributed,What type of food is distributed,select_multiple typeoffood,list,Food_Security,typeoffood,,,
specify_type_of_food,Please specify type of food ,text,string,Food_Security,,,,
frequency_of_food_distribution,What is the frequency of food distribution?,select_multiple fooddistribution,list,Food_Security,fooddistribution,fooddistribution,,
specify_other_frequency,Please specify other ,text,string,Food_Security,,,,
what_meals_provided_in_a_day,What meals are provided per day?,select_multiple meals,list,Food_Security,meals,,,
how_much_kcal,How much kcal is provided per person per day?,text,string,Food_Security,,,,
percent_of_idps_assisted_with_food,Percent of IDPs assisted with food ,select_one percentage,string,Food_Security,percentage,percentage_food,,
idps_mainly_get_their_food_from,Where do IDPs mainly get their food? (Select all that apply) ,select_multiple foodsource,list,Food_Security,foodsource,,,
specify_source_of_food,Please specify source of food ,text,string,Food_Security,,,,
number_of_communal_kitchens,Number of communal kitchens ,integer,integer,Food_Security,,,,
type_and_number_of_shelters,Type and number of shelters in site ,select_multiple sheltertype,list,Shelter,sheltertype,,,
specify_type_of_shelter,Please specify other type of shelter ,text,string,Shelter,,,,
